date,count
2013-07-01,16650
2013-07-02,22745
2013-07-03,21864
2013-07-04,22326
2013-07-05,21842
2013-07-06,20467
2013-07-07,20477
2013-07-08,21615
2013-07-09,26641
2013-07-10,25732
2013-07-11,24417
2013-07-12,19006
2013-07-13,26119
2013-07-14,29287
2013-07-15,28069
2013-07-16,29842
2013-07-17,30550
2013-07-18,28869
2013-07-19,26591
2013-07-20,25278
2013-07-21,30297
2013-07-22,25979
2013-07-23,32376
2013-07-24,35271
2013-07-25,31084
2013-07-26,34534
2013-07-27,32470
2013-07-28,23508
2013-07-29,34915
2013-07-30,37334
2013-07-31,37261
2013-08-01,20138
2013-08-02,35792
2013-08-03,29540
2013-08-04,35253
2013-08-05,36776
2013-08-06,37702
2013-08-07,34396
2013-08-08,28366
2013-08-09,29017
2013-08-10,37201
2013-08-11,33060
2013-08-12,31457
2013-08-13,22437
2013-08-14,38150
2013-08-15,37386
2013-08-16,35991
2013-08-17,37285
2013-08-18,27612
2013-08-19,33127
2013-08-20,35843
2013-08-21,36315
2013-08-22,26629
2013-08-23,33503
2013-08-24,32941
2013-08-25,31755
2013-08-26,29979
2013-08-27,34208
2013-08-28,28185
2013-08-29,34215
2013-08-30,32318
2013-08-31,25381
2013-09-01,25235
2013-09-02,21416
2013-09-03,32411
2013-09-04,36798
2013-09-05,35825
2013-09-06,35868
2013-09-07,34419
2013-09-08,33196
2013-09-09,35394
2013-09-10,36954
2013-09-11,35812
2013-09-12,31252
2013-09-13,36501
2013-09-14,31607
2013-09-15,31914
2013-09-16,31287
2013-09-17,38283
2013-09-18,37957
2013-09-19,39200
2013-09-20,39382
2013-09-21,31826
2013-09-22,29758
2013-09-23,35152
2013-09-24,38417
2013-09-25,38223
2013-09-26,38189
2013-09-27,37412
2013-09-28,34931
2013-09-29,32592
2013-09-30,37148
2013-10-01,40575
2013-10-02,41383
2013-10-03,40456
2013-10-04,40195
2013-10-05,34181
2013-10-06,26574
2013-10-07,25016
2013-10-08,38365
2013-10-09,36969
2013-10-10,31171
2013-10-11,33357
2013-10-12,32457
2013-10-13,28832
2013-10-14,33018
2013-10-15,37534
2013-10-16,36911
2013-10-17,36888
2013-10-18,38122
2013-10-19,29548
2013-10-20,29256
2013-10-21,35012
2013-10-22,36338
2013-10-23,32365
2013-10-24,32251
2013-10-25,30979
2013-10-26,24569
2013-10-27,23965
2013-10-28,31498
2013-10-29,33414
2013-10-30,35069
2013-10-31,31444
2013-11-01,30384
2013-11-02,31013
2013-11-03,20798
2013-11-04,27142
2013-11-05,31493
2013-11-06,34826
2013-11-07,25719
2013-11-08,28686
2013-11-09,21734
2013-11-10,19712
2013-11-11,27295
2013-11-12,19925
2013-11-13,23633
2013-11-14,27040
2013-11-15,29051
2013-11-16,25194
2013-11-17,17995
2013-11-18,30615
2013-11-19,27417
2013-11-20,26229
2013-11-21,28752
2013-11-22,25448
2013-11-23,18996
